title,company,location,stipend,skills
Creative Design,SACOM INNOVATIONS AND TECHNOLOGIES PRIVATE LIMITED,Mumbai,"₹ 10,000 - 15,000 /month","Adobe Photoshop, CorelDRAW, Adobe Illustrator, Adobe Premiere Pro, Digital Illustration"
Volunteering,NayePankh Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Social Media Marketing, MS-Office, Negotiation, Time Management, Networking, Strategy, MS-Excel"
AI Video Editor,Veoforge,Bangalore,"₹ 20,000 /month","Adobe Creative Suite, Prompt Engineering"
Content Writing,ViralChilly,Jaipur,"₹ 5,000 - 6,000 /month","Creative Writing, English Proficiency (Written)"
Business Development (South Indian),Copper Connections Limited,Delhi,"₹ 14,000 - 15,000 /month","English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Telugu Proficiency (Spoken), Tamil Proficiency (Spoken), Kannada Proficiency (Spoken), Malayalam Proficiency (Spoken)"
Social Media & Content Manager,Bizzaro,Delhi,"₹ 10,000 - 15,000 /month","Social Media Marketing, Content Management, Research and Analytics, Marketing, Marketing Campaigns"
Business Development (Sales),Twocorex (OPC) Private Limited,"Thane, Navi Mumbai, Mumbai","₹ 10,000 - 20,000 /month","English Proficiency (Spoken), Sales"
Customer Service/Customer Support,Relomi Corporate Services LLP,Mumbai,"₹ 15,000 - 20,000 /month","MS-Office, Computer skills, Hospitality, English Proficiency (Spoken), English Proficiency (Written)"
Operations,R.G.J.DASS,Secunderabad,"₹ 10,000 - 10,001 /month","MS-Word, Accounting, MS-Excel, Data entry, Inventory Management, English Proficiency (Written)"
Video Editing/Making,Dibiz Solutions,Mumbai,"₹ 15,000 - 20,000 /month","Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making, Adobe After Effects, Cinematography, DaVinci Resolve"
CAD Design,VIZON,"Dehradun, Bangalore","₹ 11,000 - 20,000 /month","Blender 3D, Autodesk Fusion 360, CAD"
